Age,Favourite_healthy_food,Favourite_cheat_meal,Main_macronutrient_source,Flexibility_level,Dehydration,Compound_movements_workout,Workout_minutes_per_week,Outcome
18,Kale,Pizza,Bad fat,108,no,no,167,Strength_restored
18,Kale,Pizza,Carbs,608,no,no,267,Strength_restored
18,Kale,Pizza,Bad fat,108,no,no,169,Strength_restored
18,Kale,Pizza,Carbs,608,no,no,210,Strength_restored
18,Kale,Pizza,Bad fat,108,no,no,92,Strength_restored
18,Kale,Pizza,Bad fat,348,no,no,443,Strength_restored
18,Kale,Pizza,Bad fat,3,no,no,130,Strength_restored
18,Kale,Pizza,Protein,5,no,no,143,Loss_of_strength
19,Kale,Pizza,Carbs,134,no,no,271,Strength_restored
19,Kale,Pizza,Carbs,103,no,no,104,Strength_restored
19,Kale,Pizza,Protein,329,no,no,252,Strength_restored
19,Kale,Pizza,Bad fat,108,no,no,273,Strength_restored
19,Kale,Pizza,Protein,394,no,no,327,Strength_restored
19,Kale,Pizza,Protein,329,no,no,169,Strength_restored
19,Kale,Pizza,Protein,372,no,no,444,Strength_restored
19,Kale,Pizza,Protein,302,no,no,205,Strength_restored
19,Kale,Pizza,Bad fat,108,no,no,168,Strength_restored
19,Kale,Pizza,Carbs,608,no,no,236,Strength_restored
19,Kale,Pizza,Bad fat,779,no,no,184,Strength_restored
19,Kale,Pizza,Protein,55,no,no,89,Loss_of_strength
19,Kale,Pizza,Bad fat,60,no,no,253,Loss_of_strength
20,Kale,Pizza,Protein,1819,no,no,245,Strength_restored
20,Kale,Pizza,Protein,76,yes,no,639,Strength_restored
20,Kale,Pizza,Bad fat,829,no,no,253,Strength_restored
20,Kale,Donut,Bad fat,292,no,no,385,Strength_restored
20,Kale,Pizza,Carbs,6991,no,no,178,Strength_restored
20,Kale,Pizza,Protein,215,no,no,228,Strength_restored
20,Kale,Pizza,Bad fat,801,no,no,244,Strength_restored
20,Kale,Pizza,Bad fat,755,no,no,284,Strength_restored
20,Kale,Pizza,Bad fat,829,no,no,196,Strength_restored
20,Kale,Pizza,Protein,215,no,no,175,Strength_restored
20,Kale,Pizza,Bad fat,2785,no,no,327,Strength_restored
20,Kale,Pizza,Protein,423,yes,no,498,Strength_restored
20,Kale,Pizza,Protein,153,no,no,100,Strength_restored
20,Kale,Pizza,Protein,215,no,no,325,Strength_restored
20,Kale,Pizza,Protein,502,no,no,261,Strength_restored
20,Kale,Pizza,Protein,130,no,no,75,Loss_of_strength
20,Kale,Pizza,Good fat,2764,yes,no,139,Loss_of_strength
20,Kale,Pizza,Carbs,134,no,no,273,Loss_of_strength
20,Kale,Pizza,Carbs,0,no,no,143,Loss_of_strength
20,Almond,Pizza,Protein,336,no,yes,133,Loss_of_strength
21,Kale,Pizza,Protein,2265,no,no,92,Strength_restored
21,Kale,Pizza,Protein,682,no,no,266,Strength_restored
21,Kale,Pizza,Carbs,423,no,no,104,Strength_restored
21,Kale,Pizza,Protein,224,no,no,871,Strength_restored
21,Almond,Pizza,Protein,524,no,no,185,Strength_restored
21,Kale,Pizza,Protein,794,no,no,191,Strength_restored
21,Kale,Pizza,Protein,216,no,no,414,Strength_restored
21,Kale,Pizza,Protein,123,no,no,449,Strength_restored
21,Kale,Pizza,Protein,2488,no,no,180,Strength_restored
21,Kale,Pizza,Carbs,8278,no,no,445,Strength_restored
21,Kale,Pizza,Protein,123,no,no,513,Strength_restored
21,Kale,Pizza,Protein,2488,no,no,661,Strength_restored
21,Kale,Pizza,Protein,123,no,no,379,Strength_restored
21,Kale,Pizza,Protein,215,no,no,382,Strength_restored
21,Kale,Pizza,Bad fat,53,no,no,270,Strength_restored
21,Salmon,Pizza,Good fat,2077,no,no,323,Strength_restored
21,Kale,Pizza,Bad fat,1506,no,no,340,Strength_restored
21,Kale,Pizza,Protein,2488,no,no,258,Strength_restored
21,Kale,Pizza,Protein,71,no,no,169,Strength_restored
21,Kale,Pizza,Bad fat,360,no,no,131,Strength_restored
21,Kale,Pizza,Carbs,423,no,no,287,Strength_restored
21,Kale,Donut,Carbs,-172,yes,yes,409,Strength_restored
21,Beets,Pizza,Protein,1333,no,no,120,Loss_of_strength
21,Kale,Pizza,Good fat,1258,no,no,404,Loss_of_strength
21,Kale,Pizza,Protein,357,no,no,115,Loss_of_strength
21,Kale,Pizza,Bad fat,137,yes,no,198,Loss_of_strength
21,Kale,Pizza,Protein,2265,no,no,156,Loss_of_strength
21,Almond,Pizza,Good fat,243,no,yes,181,Loss_of_strength
21,Kale,Pizza,Protein,361,no,no,329,Loss_of_strength
21,Kale,Pizza,Bad fat,200,no,no,8,Loss_of_strength
22,Almond,Pizza,Good fat,897,yes,no,133,Strength_restored
22,Kale,Pizza,Protein,0,no,no,229,Strength_restored
22,Kale,Pizza,Protein,381,no,no,227,Strength_restored
22,Kale,Pizza,Protein,107,no,no,125,Strength_restored
22,Kale,Pizza,Protein,-51,yes,no,859,Strength_restored
22,Kale,Pizza,Protein,344,yes,no,347,Strength_restored
22,Kale,Pizza,Protein,682,no,no,126,Strength_restored
22,Kale,Pizza,Bad fat,466,no,no,377,Strength_restored
22,Kale,Pizza,Protein,185,no,no,153,Strength_restored
22,Kale,Pizza,Protein,948,no,no,215,Strength_restored
22,Kale,Pizza,Good fat,691,no,no,338,Strength_restored
22,Kale,Pizza,Protein,144,no,no,116,Strength_restored
22,Kale,Pizza,Protein,129,no,no,258,Strength_restored
22,Kale,Pizza,Protein,23,no,no,137,Strength_restored
22,Kale,Pizza,Protein,1522,no,no,368,Strength_restored
22,Kale,Pizza,Good fat,691,no,no,260,Strength_restored
22,Kale,Pizza,Protein,254,no,no,143,Strength_restored
22,Kale,Pizza,Protein,216,no,no,363,Strength_restored
22,Kale,Pizza,Bad fat,1215,no,no,145,Strength_restored
22,Kale,Pizza,Protein,948,no,no,169,Strength_restored
22,Kale,Pizza,Protein,283,yes,no,254,Strength_restored
22,Kale,Pizza,Protein,129,no,no,218,Strength_restored
22,Almond,Pizza,Good fat,104,no,yes,330,Strength_restored
22,Kale,Pizza,Carbs,3472,no,no,529,Strength_restored
22,Kale,Pizza,Carbs,423,no,no,316,Strength_restored
22,Kale,Pizza,Bad fat,1232,no,no,283,Strength_restored
22,Kale,Pizza,Protein,216,no,no,178,Strength_restored
22,Almond,Pizza,Protein,372,no,no,218,Strength_restored
22,Almond,Pizza,Good fat,104,no,yes,509,Strength_restored
22,Kale,Pizza,Protein,2488,no,no,449,Strength_restored
22,Kale,Pizza,Protein,3982,no,no,206,Strength_restored
22,Almond,Pizza,Protein,33,no,no,369,Strength_restored
22,Beets,Pizza,Good fat,993,no,no,115,Strength_restored
22,Beets,Pizza,Good fat,780,no,no,272,Strength_restored
22,Kale,Pizza,Protein,552,no,no,327,Strength_restored
22,Kale,Pizza,Protein,71,no,no,337,Strength_restored
22,Almond,Pizza,Protein,114,no,no,517,Strength_restored
22,Beets,Pizza,Protein,2138,no,yes,164,Strength_restored
22,Kale,Pizza,Carbs,3472,no,no,332,Strength_restored
22,Kale,Pizza,Protein,1796,no,no,369,Strength_restored
22,Kale,Pizza,Protein,2162,no,no,168,Loss_of_strength
22,Kale,Pizza,Good fat,1161,no,yes,119,Loss_of_strength
22,Kale,Pizza,Protein,64,no,no,112,Loss_of_strength
22,Kale,Pizza,Bad fat,3317,no,no,148,Loss_of_strength
22,Kale,Pizza,Bad fat,549,no,no,154,Loss_of_strength
22,Almond,Pizza,Good fat,760,no,no,6,Loss_of_strength
22,Kale,Pizza,Bad fat,1,no,no,263,Loss_of_strength
22,Almond,Pizza,Protein,-1,yes,no,136,Loss_of_strength
23,Salmon,Pizza,Carbs,4,yes,no,395,Strength_restored
23,Kale,Pizza,Protein,665,yes,no,1183,Strength_restored
23,Kale,Pizza,Protein,425,yes,no,768,Strength_restored
23,Kale,Pizza,Protein,492,yes,no,638,Strength_restored
23,Beets,Pizza,Carbs,1003,no,no,8,Strength_restored
23,Almond,Pizza,Good fat,1506,no,no,131,Strength_restored
23,Kale,Pizza,Protein,4126,no,no,96,Strength_restored
23,Almond,Pizza,Good fat,2143,no,no,180,Strength_restored
23,Almond,Pizza,Good fat,314,no,yes,142,Strength_restored
23,Kale,Pizza,Protein,0,no,no,297,Strength_restored
23,Kale,Donut,Good fat,66,yes,no,1391,Strength_restored
23,Kale,Pizza,Protein,4,yes,no,763,Strength_restored
23,Kale,Pizza,Protein,780,yes,no,416,Strength_restored
23,Kale,Pizza,Protein,31,no,no,192,Strength_restored
23,Kale,Pizza,Protein,870,no,no,316,Strength_restored
23,Kale,Pizza,Protein,0,no,no,217,Strength_restored
23,Kale,Pizza,Protein,431,no,no,496,Strength_restored
23,Kale,Pizza,Protein,1234,no,no,250,Strength_restored
23,Kale,Pizza,Protein,870,no,no,296,Strength_restored
23,Almond,Pizza,Good fat,897,yes,no,190,Strength_restored
23,Kale,Pizza,Protein,480,no,no,742,Strength_restored
23,Kale,Pizza,Protein,431,no,no,201,Strength_restored
23,Kale,Pizza,Protein,1234,no,no,379,Strength_restored
23,Kale,Pizza,Protein,488,no,no,236,Strength_restored
23,Kale,Pizza,Protein,107,no,no,256,Strength_restored
23,Kale,Pizza,Bad fat,2530,no,no,411,Strength_restored
23,Kale,Pizza,Protein,488,no,no,205,Strength_restored
23,Kale,Pizza,Protein,1809,no,no,414,Strength_restored
23,Kale,Pizza,Protein,1298,no,no,603,Strength_restored
23,Almond,Pizza,Good fat,1807,no,no,606,Strength_restored
23,Kale,Pizza,Protein,283,yes,no,175,Strength_restored
23,Kale,Pizza,Good fat,113,no,no,266,Strength_restored
23,Kale,Pizza,Protein,922,no,no,538,Strength_restored
23,Kale,Pizza,Good fat,0,no,no,213,Strength_restored
23,Kale,Pizza,Bad fat,854,yes,no,664,Strength_restored
23,Kale,Pizza,Good fat,1129,yes,no,806,Strength_restored
23,Kale,Pizza,Protein,598,no,no,406,Strength_restored
23,Kale,Pizza,Protein,279,yes,no,843,Strength_restored
23,Kale,Pizza,Good fat,691,no,no,1178,Strength_restored
23,Beets,Pizza,Good fat,780,no,no,393,Strength_restored
23,Kale,Donut,Protein,272,no,no,100,Strength_restored
23,Kale,Pizza,Protein,794,no,no,607,Strength_restored
23,Kale,Pizza,Protein,107,no,no,84,Strength_restored
23,Kale,Pizza,Protein,381,no,no,696,Strength_restored
23,Almond,Pizza,Protein,252,yes,no,56,Loss_of_strength
23,Kale,Pizza,Bad fat,565,no,no,162,Loss_of_strength
23,Kale,Pizza,Protein,9216,no,no,471,Loss_of_strength
23,Kale,Donut,Carbs,-213,no,no,165,Loss_of_strength
23,Kale,Donut,Protein,1309,yes,no,349,Loss_of_strength
23,Kale,Pizza,Protein,8494,no,no,158,Loss_of_strength
23,Kale,Pizza,Protein,-782,yes,yes,197,Loss_of_strength
23,Kale,Donut,Protein,94,yes,no,193,Loss_of_strength
23,Kale,Pizza,Carbs,93,yes,no,70,Loss_of_strength
23,Kale,Pizza,Protein,556,yes,no,170,Loss_of_strength
23,Kale,Pizza,Protein,598,no,no,166,Loss_of_strength
23,Kale,Pizza,Protein,151,yes,no,97,Loss_of_strength
23,Kale,Pizza,Protein,486,no,no,87,Loss_of_strength
23,Kale,Pizza,Protein,0,yes,no,6,Loss_of_strength
23,Almond,Pizza,Protein,1104,yes,no,120,Loss_of_strength
23,Almond,Pizza,Good fat,2605,yes,no,278,Loss_of_strength
23,Kale,Pizza,Protein,356,yes,no,224,Loss_of_strength
